[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493382300.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '310', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493382900.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '309', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493383500.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '307', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493384100.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '301', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493384580.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493385180.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493385720.0, 'sSourceAddr': IP('172.16.2.44'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '94', 'iPortNum': '13', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493385780.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493386380.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493386980.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '14', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
